2701,amdhg001,Audi,azul
2702,amdhg002,Audi,verde
2703,amdhg003,Audi,rojo
2704,amdhg004,Audi,amarillo
2705,amdhg005,Fullback,rojo
2706,amdhg006,Audi,plateado
2707,amdhg007,Audi,naranja
2708,amdhg008,Audi,verde
2709,amdhg009,Audi,vinotinto
2710,amdhg010,Audi,negro
2711,amdhg011,Audi,blanco
2712,amdhg012,Audi,verde
2713,amdhg013,Audi,vinotinto
2714,amdhg014,Ulysse,negro
2715,amdhg015,Fiat,blanco
2716,amdhg016,Fiat,verde
2717,amdhg017,Fiat,rojo
2718,amdhg018,Fiat,amarillo
2719,amdhg019,Fiat,rojo
2720,amdhg020,Uno,plateado
2721,amdhg021,Mazda,verde
2722,amdhg022,Ford,vinotinto
2723,amdhg023,Ford,negro
2724,amdhg024,Ford,blanco
2725,amdhg025,Ford,verde
2726,amdhg026,Ford,vinotinto
2727,amdhg027,Ford,negro
2728,amdhg028,Ford,rojo
2729,amdhg029,Ford,amarillo
2730,amdhg030,Fiat,rojo
2731,amdhg031,Ford,plateado
2732,amdhg032,Ford,rojo
2733,amdhg033,Ford,plateado
2734,amdhg034,Ford,naranja
2735,amdhg035,Ford,verde
2736,amdhg036,Mazda,vinotinto
2737,amdhg037,Mazda,negro
2738,amdhg038,Ulysse,blanco
2739,amdhg039,Ulysse,verde
2740,amdhg040,Ulysse,azul
2741,amdhg041,Mazda,verde
2742,amdhg042,Mazda,rojo
2743,amdhg043,Mazda,amarillo
2744,amdhg044,Uno,rojo
2745,amdhg045,Mazda,plateado
2746,amdhg046,nissan,naranja
2747,amdhg047,nissan,verde
2748,amdhg048,nissan,vinotinto
2749,amdhg049,Mitsubishi,negro
2750,amdhg050,Mitsubishi,blanco
