20001,Cambio de aceite
20002,Alineación y balanceo
20003,Frenos
20004,Suspensión
20005,Transmisión
20006,Aire acondicionado
20007,Sistema eléctrico
20008,Diagnóstico de fallas
20009,Reparación de motores
20010,Cambio de neumáticos
20011,Cambio de batería
20012,Sistema de escape
20013,Cambio de correa de distribución
20014,Lubricación
20015,Inspección de seguridad
20016,Reparación de frenos ABS
20017,Cambio de filtro de aire
20018,Reparación de caja de cambios
20019,Cambio de amortiguadores
20020,Reparación de sistemas de dirección
20021,Cambio de bujías
20022,Reparación de sistemas de inyección
20023,Limpieza de inyectores
20024,Cambio de filtro de combustible
20025,Ajuste de válvulas
20026,Reparación de sistemas de refrigeración
20027,Cambio de líquido de frenos
20028,Reparación de sistema de arranque
20029,Cambio de líquido de transmisión
20030,Reparación de sistemas de escape
20031,Cambio de filtro de aceite
20032,Reparación de sistema de encendido
20033,Cambio de pastillas de freno
20034,Reparación de sistemas de suspensión
20035,Cambio de termostato
20036,Reparación de sistemas de climatización
20037,Cambio de filtro de habitáculo
20038,Reparación de sistema de dirección asistida
20039,Cambio de líquido de dirección asistida
20040,Alineación de faros
20041,Reparación de sistemas de seguridad
20042,Cambio de bomba de agua
20043,Reparación de sistemas de frenos hidráulicos
20044,Cambio de correa de accesorios
20045,Reparación de sistemas de escape catalíticos
20046,Cambio de sensor de oxígeno
20047,Reparación de sistemas de suspensión neumática
20048,Cambio de polea tensora
20049,Reparación de sistemas de tracción en las cuatro ruedas
20050,Cambio de amortiguadores
