11001,N/A,N/A,N/A,N/A,900901,1501
11002,N/A,N/A,N/A,N/A,900902,1502
11003,N/A,N/A,N/A,N/A,900903,1503
11004,N/A,N/A,N/A,N/A,900904,1504
11005,N/A,N/A,N/A,N/A,900905,1505
11006,N/A,N/A,N/A,N/A,900906,1506
11007,N/A,N/A,N/A,N/A,900907,1507
11008,N/A,N/A,N/A,N/A,900908,1508
11009,N/A,N/A,N/A,N/A,900909,1509
11010,N/A,N/A,N/A,N/A,900910,1510
11011,N/A,N/A,N/A,N/A,900911,1511
11012,N/A,N/A,N/A,N/A,900912,1512
11013,N/A,N/A,N/A,N/A,900913,1513
11014,N/A,N/A,N/A,N/A,900914,1514
11015,N/A,N/A,N/A,N/A,900915,1515
11016,N/A,N/A,N/A,N/A,900916,1516
11017,N/A,N/A,N/A,N/A,900917,1517
11018,N/A,N/A,N/A,N/A,900918,1518
11019,N/A,N/A,N/A,N/A,900919,1519
11020,N/A,N/A,N/A,N/A,900920,1520
11021,N/A,N/A,N/A,N/A,900921,1521
11022,N/A,N/A,N/A,N/A,900922,1522
11023,N/A,N/A,N/A,N/A,900923,1523
11024,N/A,N/A,N/A,N/A,900924,1524
11025,N/A,N/A,N/A,N/A,900925,1525
11026,N/A,N/A,N/A,N/A,900926,1526
11027,N/A,N/A,N/A,N/A,900927,1527
11028,N/A,N/A,N/A,N/A,900928,1528
11029,N/A,N/A,N/A,N/A,900929,1529
11030,N/A,N/A,N/A,N/A,900930,1530
11031,N/A,N/A,N/A,N/A,900931,1531
11032,N/A,N/A,N/A,N/A,900932,1532
11033,N/A,N/A,N/A,N/A,900933,1533
11034,N/A,N/A,N/A,N/A,900934,1534
11035,N/A,N/A,N/A,N/A,900935,1535
11036,N/A,N/A,N/A,N/A,900936,1536
11037,N/A,N/A,N/A,N/A,900937,1537
11038,N/A,N/A,N/A,N/A,900938,1538
11039,N/A,N/A,N/A,N/A,900939,1539
11040,N/A,N/A,N/A,N/A,900940,1540
11041,N/A,N/A,N/A,N/A,900941,1541
11042,N/A,N/A,N/A,N/A,900942,1542
11043,N/A,N/A,N/A,N/A,900943,1543
11044,N/A,N/A,N/A,N/A,900944,1544
11045,N/A,N/A,N/A,N/A,900945,1545
11046,N/A,N/A,N/A,N/A,900946,1546
11047,N/A,N/A,N/A,N/A,900947,1547
11048,N/A,N/A,N/A,N/A,900948,1548
11049,N/A,N/A,N/A,N/A,900949,1549
11050,N/A,N/A,N/A,N/A,900950,1550
