94413,CAMBIO DE ACEITE Y FILTRO,90000,12397
94414,REVISIÓN Y MANTENIMIENTO DE FRENOS,85000,12407
94415,ALINEACIÓN Y BALANCEO DE NEUMÁTICOS,80000,12418
94416,CAMBIO DE NEUMÁTICOS,75000,12423
94417,CAMBIO DE BATERÍA,70000,12431
94418,DIAGNÓSTICO Y REPARACIÓN DE SISTEMAS ELÉCTRICOS,65000,12442
94419,CAMBIO DE BUJÍAS Y CABLES DE ENCENDIDO,60000,12451
94420,SUSTITUCIÓN DE CORREA DE DISTRIBUCIÓN,55000,23458
94421,REEMPLAZO DE AMORTIGUADORES Y SUSPENSIÓN,50000,34569
94422,REPARACIÓN DE SISTEMA DE ESCAPE,45000,34584
94423,DIAGNÓSTICO Y REPARACIÓN DE PROBLEMAS DE TRANSMISIÓN,40000,34585
94424,LIMPIEZA Y AJUSTE DE INYECTORES DE COMBUSTIBLE,35000,34586
94425,REPARACIÓN DE SISTEMA DE CLIMATIZACIÓN Y AIRE ACONDICIONADO,30000,34587
94426,SERVICIO DE AFINACIÓN Y AJUSTE DEL MOTOR,40000,34588
94427,REPARACIÓN DE SISTEMA DE DIRECCIÓN,60000,34589
94428,REVISIÓN Y REPARACIÓN DE SISTEMA DE REFRIGERACIÓN,80000,34590
94429,CAMBIO DE FILTRO DE AIRE Y HABITÁCULO,100000,45679
94430,REPARACIÓN DE SISTEMA DE FRENOS ANTIBLOQUEO ,120000,45684
94431,REEMPLAZO DE SENSORES Y ACTUADORES,140000,45685
94432,INSPECCIÓN Y MANTENIMIENTO GENERAL DEL VEHÍCULO,60000,45686
94433,REPARACIÓN DE SISTEMA DE EMBRAGUE,55000,45687
94434,CAMBIO DE KIT DE DISTRIBUCIÓN,50000,45688
94435,LIMPIEZA DE INYECTORES CON ULTRASONIDO,45000,45689
94436,REPARACIÓN DE SISTEMA DE DIRECCIÓN ASISTIDA,40000,45690
94437,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,35000,56794
94438,REPARACIÓN DE SISTEMA DE CONTROL DE TRACCIÓN,30000,56795
94439,SERVICIO DE FRENOS DE DISCO,40000,56796
94440,CAMBIO DE KIT DE ARRANQUE,60000,56797
94441,REPARACIÓN DE SISTEMA DE ALARMA,80000,56798
94442,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,100000,56799
94443,SERVICIO DE FRENOS DE DISCO,120000,56800
94444,REPARACIÓN DE SISTEMA DE FRENOS ANTIBLOQUEO ,140000,56801
94445,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,120000,78904
94446,REEMPLAZO DE SENSORES Y ACTUADORES,140000,89014
94447,REPARACIÓN DE SISTEMA DE ESCAPE,100000,89029
94448,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,120000,89034
94449,REPARACIÓN DE SISTEMA DE FRENOS ANTIBLOQUEO ,140000,89035
94450,REEMPLAZO DE SENSORES Y ACTUADORES,60000,89036
94451,SERVICIO DE FRENOS DE DISCO,55000,89037
94452,REPARACIÓN DE SISTEMA DE ESCAPE,50000,89038
94453,SERVICIO DE FRENOS DE DISCO,45000,89039
94454,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,40000,90124
94455,SERVICIO DE FRENOS DE DISCO,35000,90129
94456,REPARACIÓN DE SISTEMA DE ESCAPE,30000,90130
94457,SERVICIO DE FRENOS DE DISCO,40000,90131
94458,REPARACIÓN DE SISTEMA DE FRENOS ANTIBLOQUEO ,60000,90132
94459,REVISIÓN Y AJUSTE DE SISTEMA DE SUSPENSIÓN NEUMÁTICA,80000,90133
94460,REEMPLAZO DE SENSORES Y ACTUADORES,100000,90134
94461,SERVICIO DE FRENOS DE DISCO,120000,90135
94462,REPARACIÓN DE SISTEMA DE ESCAPE,140000,67893
